skeleton_id,acs,ad,mc,mr,sh,syl,annotations_per_neuron
608833,,,,,,,0.0
608837,,,,,,,0.0
608841,,,,,,,0.0
608845,,,,,,,0.0
608849,,,,,,,0.0
608853,,,,incorrect,,,1.0
608857,,,,incorrect,,,1.0
608861,,,,incorrect,,,1.0
608865,,,,uncertain,,,1.0
608869,,,,incorrect,,,1.0
608873,,,,correct,,,1.0
608877,,,,correct,,,1.0
608881,,,,uncertain,,,1.0
608885,,,,correct,,,1.0
608889,,,,,,,0.0
608893,,,,,,,0.0
608897,,,,correct,,,1.0
608901,,,,uncertain,,,1.0
608905,,,,,,,0.0
608909,,,,,,,0.0
608913,,,,incorrect,,,1.0
608917,,,,,,,0.0
608921,,,,,,,0.0
608925,,,,,,,0.0
608929,,,,,,,0.0
608933,,,,,,,0.0
608938,,,,,,,0.0
608945,,,,,,,0.0
608950,,,,,,,0.0
608954,,,,,,,0.0
608958,,,,,,,0.0
608962,,,,,,,0.0
608966,,,,,,,0.0
608970,,,,,,,0.0
608974,,,,,,,0.0
608978,,,,,,,0.0
608982,,,,,,,0.0
608986,,,,,,,0.0
608990,,,,,,,0.0
608994,,,,,,,0.0
608998,,,,,,,0.0
609002,,,,,,,0.0
609006,,,,,,,0.0
609010,,,,,,,0.0
609014,,,,,,,0.0
609018,,,,,,,0.0
609022,,,,,,,0.0
609026,,,,,,,0.0
609030,,,,,,,0.0
609034,,,,,,,0.0
609038,,,,,,,0.0
609042,,,,,,,0.0
609046,,,,,,,0.0
609050,,,,,,,0.0
609054,,,,,,,0.0
609058,,,,,,,0.0
609062,,,,,,,0.0
609066,,,,,,,0.0
609070,,,,,,,0.0
609074,,,,,,,0.0
609078,,,,,,,0.0
609082,,,,uncertain,,,1.0
609086,,,,correct,,,1.0
609090,,,,,,,0.0
609094,,,,,,,0.0
609098,,,,,,,0.0
609102,,,,,,,0.0
609106,,,,,,,0.0
609110,,,,,,,0.0
609114,,,,,,,0.0
609118,,,,,,,0.0
609122,,,,,,,0.0
609126,,,,,,,0.0
609130,,,,,,,0.0
609134,,,,correct,,,1.0
609138,,,,uncertain,,,1.0
609142,,,,incorrect,,,1.0
609146,,,,uncertain,,,1.0
609150,,,,uncertain,,,1.0
609154,,,,uncertain,,,1.0
609158,,,,uncertain,,,1.0
609162,,,,incorrect,,,1.0
609166,,,,,,,0.0
609170,,,,correct,,,1.0
609174,,,,incorrect,,,1.0
609178,,,,correct,,,1.0
609182,,,,incorrect,,,1.0
609186,,,,uncertain,,,1.0
609190,,,,uncertain,,,1.0
609194,,,,correct,,,1.0
609198,,,,incorrect,,,1.0
609202,,,,correct,,,1.0
609206,,,,correct,,,1.0
609210,,,,incorrect,,,1.0
609214,,,,uncertain,,,1.0
609218,,,,incorrect,,,1.0
609222,,,,uncertain,,,1.0
609226,,,,correct,,,1.0
609282,,,,,,,0.0
608204,incorrect,incorrect,uncertain,incorrect,uncertain,uncertain,6.0
608208,uncertain,incorrect,correct,incorrect,correct,correct,6.0
608212,uncertain,incorrect,uncertain,uncertain,uncertain,uncertain,6.0
608216,correct,correct,correct,correct,uncertain,correct,6.0
608220,uncertain,correct,correct,uncertain,correct,correct,6.0
608224,uncertain,uncertain,correct,uncertain,correct,correct,6.0
608228,correct,correct,correct,correct,correct,correct,6.0
608232,correct,correct,correct,correct,correct,correct,6.0
608240,incorrect,incorrect,incorrect,uncertain,uncertain,uncertain,6.0
608244,incorrect,incorrect,incorrect,uncertain,uncertain,uncertain,6.0
608249,correct,incorrect,incorrect,,correct,correct,5.0
